train,val,test
TCGA-VQ-A8E0-01Z-00-DX1.hhhhhh.svs,TCGA-RD-A7BT-01Z-00-DX1.hhhhhh.svs,TCGA-RD-A7BT-01Z-00-DX1.hhhhhh.svs
TCGA-CD-8535-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4477-01Z-00-DX1.hhhhhh.svs,TCGA-CG-4477-01Z-00-DX1.hhhhhh.svs
TCGA-CD-8534-01Z-00-DX1.hhhhhh.svs,TCGA-IN-7806-01Z-00-DX1.hhhhhh.svs,TCGA-IN-7806-01Z-00-DX1.hhhhhh.svs
TCGA-R5-A7ZR-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A94O-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-A94O-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-A91E-01Z-00-DX1.hhhhhh.svs,TCGA-EQ-A4SO-01Z-00-DX1.hhhhhh.svs,TCGA-EQ-A4SO-01Z-00-DX1.hhhhhh.svs
TCGA-D7-A6EY-01Z-00-DX1.hhhhhh.svs,TCGA-D7-6526-01Z-00-DX1.hhhhhh.svs,TCGA-D7-6526-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-AA68-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8368-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8368-01Z-00-DX1.hhhhhh.svs
TCGA-CD-5804-01Z-00-DX1.hhhhhh.svs,TCGA-D7-6528-01Z-00-DX1.hhhhhh.svs,TCGA-D7-6528-01Z-00-DX1.hhhhhh.svs
TCGA-BR-7722-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-AA6D-01Z-00-DX1.hhhhhh.svs,TCGA-VQ-AA6D-01Z-00-DX1.hhhhhh.svs
TCGA-RD-A8N2-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8369-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8369-01Z-00-DX1.hhhhhh.svs
TCGA-FP-8099-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GN-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GN-01Z-00-DX1.hhhhhh.svs
TCGA-IP-7968-01Z-00-DX1.hhhhhh.svs,TCGA-R5-A7ZE-01Z-00-DX1.hhhhhh.svs,TCGA-R5-A7ZE-01Z-00-DX1.hhhhhh.svs
TCGA-D7-A4YU-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A4YX-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A4YX-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8080-01Z-00-DX1.hhhhhh.svs,TCGA-CD-5803-01Z-00-DX1.hhhhhh.svs,TCGA-CD-5803-01Z-00-DX1.hhhhhh.svs
TCGA-BR-A4IY-01Z-00-DX1.hhhhhh.svs,TCGA-FP-A8CX-01Z-00-DX1.hhhhhh.svs,TCGA-FP-A8CX-01Z-00-DX1.hhhhhh.svs
TCGA-BR-6709-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6802-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6802-01Z-00-DX1.hhhhhh.svs
TCGA-BR-7959-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GT-01Z-00-DX1.hhhhhh.svs,TCGA-HU-A4GT-01Z-00-DX1.hhhhhh.svs
TCGA-CG-4437-01Z-00-DX1.hhhhhh.svs,TCGA-FP-7916-01Z-00-DX1.hhhhhh.svs,TCGA-FP-7916-01Z-00-DX1.hhhhhh.svs
TCGA-CD-8528-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7716-01Z-00-DX1.hhhhhh.svs,TCGA-BR-7716-01Z-00-DX1.hhhhhh.svs
TCGA-BR-7715-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8289-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8289-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-A8PD-01Z-00-DX1.hhhhhh.svs,TCGA-BR-A4J6-01Z-00-DX1.hhhhhh.svs,TCGA-BR-A4J6-01Z-00-DX1.hhhhhh.svs
TCGA-CG-5721-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A6EZ-01Z-00-DX1.hhhhhh.svs,TCGA-D7-A6EZ-01Z-00-DX1.hhhhhh.svs
TCGA-BR-6852-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8373-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8373-01Z-00-DX1.hhhhhh.svs
TCGA-BR-7707-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6706-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6706-01Z-00-DX1.hhhhhh.svs
TCGA-BR-7704-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6456-01Z-00-DX1.hhhhhh.svs,TCGA-BR-6456-01Z-00-DX1.hhhhhh.svs
TCGA-CG-5732-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8687-01Z-00-DX1.hhhhhh.svs,TCGA-BR-8687-01Z-00-DX1.hhhhhh.svs
TCGA-BR-8382-01Z-00-DX1.hhhhhh.svs,TCGA-BR-A4J2-01Z-00-DX1.hhhhhh.svs,TCGA-BR-A4J2-01Z-00-DX1.hhhhhh.svs
TCGA-VQ-A91Z-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8678-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-8608-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8297-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6524-01Z-00-DX1.hhhhhh.svs,,
TCGA-SW-A7EA-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-8570-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A4YT-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6820-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4H5-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4G3-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8588-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A7C1-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PF-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8060-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91Y-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8296-01Z-00-DX1.hhhhhh.svs,,
TCGA-FP-7735-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A94R-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A747-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A8N6-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-AA6K-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4436-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6815-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91V-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4GQ-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4G6-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PP-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8DV-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4IZ-01Z-00-DX1.hhhhhh.svs,,
TCGA-ZA-A8F6-01Z-00-DX1.hhhhhh.svs,,
TCGA-KB-A93G-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4GC-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A8N1-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-8527-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-A48C-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6803-01Z-00-DX1.hhhhhh.svs,,
TCGA-FP-8210-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A44T-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4G2-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4G9-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8E3-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-5799-01Z-00-DX1.hhhhhh.svs,,
TCGA-KB-A93H-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4460-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-A4MJ-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6452-01Z-00-DX1.hhhhhh.svs,,
TCGA-HJ-7597-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-AA6B-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PK-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-8531-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4PD-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A94P-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A4YV-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-8578-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4QM-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6522-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-5577-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-8573-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8682-01Z-00-DX1.hhhhhh.svs,,
TCGA-MX-A5UG-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6818-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A8N4-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4469-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A7BW-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4438-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-A4MH-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-8526-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-7958-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4QI-01Z-00-DX1.hhhhhh.svs,,
TCGA-R5-A805-01Z-00-DX1.hhhhhh.svs,,
TCGA-FP-A4BF-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6518-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A94U-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8P2-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A94T-01Z-00-DX1.hhhhhh.svs,,
TCGA-F1-6875-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8372-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6705-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4449-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-AA6A-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8384-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8291-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-8579-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-5578-01Z-00-DX1.hhhhhh.svs,,
TCGA-ZQ-A9CR-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4J5-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-A4MI-01Z-00-DX1.hhhhhh.svs,,
TCGA-MX-A663-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8363-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4444-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A7BS-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-5800-01Z-00-DX1.hhhhhh.svs,,
TCGA-F1-A72C-01Z-00-DX1.hhhhhh.svs,,
TCGA-FP-8631-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-5798-01Z-00-DX1.hhhhhh.svs,,
TCGA-FP-7829-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-8524-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91W-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91X-01Z-00-DX1.hhhhhh.svs,,
TCGA-R5-A7ZF-01Z-00-DX1.hhhhhh.svs,,
TCGA-R5-A7ZI-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6527-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8676-01Z-00-DX1.hhhhhh.svs,,
TCGA-SW-A7EB-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PJ-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8DZ-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8371-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A8N5-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91S-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A4Z0-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-8533-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8059-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91U-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4PE-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A8MV-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6520-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6563-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4IV-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A44U-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PU-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8487-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-7723-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A74A-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8P3-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8077-01Z-00-DX1.hhhhhh.svs,,
TCGA-RD-A8MW-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4306-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8591-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8683-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PC-01Z-00-DX1.hhhhhh.svs,,
TCGA-F1-A448-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-AA6I-01Z-00-DX1.hhhhhh.svs,,
TCGA-KB-A6F7-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8686-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-8572-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A92D-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8381-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A6EX-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4GH-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A927-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A924-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4J7-01Z-00-DX1.hhhhhh.svs,,
TCGA-MX-A5UJ-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4HB-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8366-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8361-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8484-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PH-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4CS-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91D-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8P8-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4H6-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6564-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8E7-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8295-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8483-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4465-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4H0-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6565-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8486-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8677-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8058-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4PF-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4GU-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8DT-01Z-00-DX1.hhhhhh.svs,,
TCGA-IN-8663-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-8529-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-8244-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A6EV-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-8610-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-8576-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6566-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-6455-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-AA69-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-8249-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A6F2-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-4305-01Z-00-DX1.hhhhhh.svs,,
TCGA-CG-5717-01Z-00-DX1.hhhhhh.svs,,
TCGA-IN-7808-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91K-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PB-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4J8-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A923-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-A4YY-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A925-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PX-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8680-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8078-01Z-00-DX1.hhhhhh.svs,,
TCGA-HF-A5NB-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PE-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-8525-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4GF-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4J9-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-A487-01Z-00-DX1.hhhhhh.svs,,
TCGA-HF-7132-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4G8-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PM-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-7717-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A8PO-01Z-00-DX1.hhhhhh.svs,,
TCGA-CD-A489-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-AA6F-01Z-00-DX1.hhhhhh.svs,,
TCGA-D7-6525-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-8081-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91A-01Z-00-DX1.hhhhhh.svs,,
TCGA-HU-A4GJ-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A91N-01Z-00-DX1.hhhhhh.svs,,
TCGA-VQ-A922-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A4QL-01Z-00-DX1.hhhhhh.svs,,
TCGA-BR-A453-01Z-00-DX1.hhhhhh.svs,,
