train,val,test
TCGA-AH-6544-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6920-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6920-01Z-00-DX1.hhhhhh.svs
TCGA-QG-A5Z2-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6570-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6570-01Z-00-DX1.hhhhhh.svs
TCGA-AZ-4614-01Z-00-DX1.hhhhhh.svs,TCGA-DY-A1DD-01Z-00-DX1.hhhhhh.svs,TCGA-DY-A1DD-01Z-00-DX1.hhhhhh.svs
TCGA-CK-5912-01Z-00-DX1.hhhhhh.svs,TCGA-CA-6718-01Z-00-DX1.hhhhhh.svs,TCGA-CA-6718-01Z-00-DX1.hhhhhh.svs
TCGA-G4-6309-01Z-00-DX1.hhhhhh.svs,TCGA-F5-6811-01Z-00-DX1.hhhhhh.svs,TCGA-F5-6811-01Z-00-DX1.hhhhhh.svs
TCGA-AZ-6606-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6540-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6540-01Z-00-DX1.hhhhhh.svs
TCGA-AZ-4682-01Z-00-DX1.hhhhhh.svs,TCGA-A6-2684-01Z-00-DX1.hhhhhh.svs,TCGA-A6-2684-01Z-00-DX1.hhhhhh.svs
TCGA-DC-6154-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6162-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6162-01Z-00-DX1.hhhhhh.svs
TCGA-AU-6004-01Z-00-DX1.hhhhhh.svs,TCGA-DT-5265-01Z-00-DX1.hhhhhh.svs,TCGA-DT-5265-01Z-00-DX1.hhhhhh.svs
TCGA-A6-6138-01Z-00-DX1.hhhhhh.svs,TCGA-CK-4951-01Z-00-DX1.hhhhhh.svs,TCGA-CK-4951-01Z-00-DX1.hhhhhh.svs
TCGA-D5-6539-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5664-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5664-01Z-00-DX1.hhhhhh.svs
TCGA-D5-6932-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6163-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6163-01Z-00-DX1.hhhhhh.svs
TCGA-CK-5913-01Z-00-DX1.hhhhhh.svs,TCGA-CL-5917-01Z-00-DX1.hhhhhh.svs,TCGA-CL-5917-01Z-00-DX1.hhhhhh.svs
TCGA-CI-6624-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6881-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6881-01Z-00-DX1.hhhhhh.svs
TCGA-D5-5537-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6806-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6806-01Z-00-DX1.hhhhhh.svs
TCGA-AF-A56N-01Z-00-DX1.hhhhhh.svs,TCGA-A6-A567-01Z-00-DX1.hhhhhh.svs,TCGA-A6-A567-01Z-00-DX1.hhhhhh.svs
TCGA-A6-6654-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6534-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6534-01Z-00-DX1.hhhhhh.svs
TCGA-CA-5797-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6680-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6680-01Z-00-DX1.hhhhhh.svs
TCGA-CK-4948-01Z-00-DX1.hhhhhh.svs,TCGA-DM-A28E-01Z-00-DX1.hhhhhh.svs,TCGA-DM-A28E-01Z-00-DX1.hhhhhh.svs
TCGA-A6-2686-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5659-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5659-01Z-00-DX1.hhhhhh.svs
TCGA-A6-6648-01Z-00-DX1.hhhhhh.svs,TCGA-DM-A280-01Z-00-DX1.hhhhhh.svs,TCGA-DM-A280-01Z-00-DX1.hhhhhh.svs
TCGA-G5-6235-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-6599-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-6599-01Z-00-DX1.hhhhhh.svs
TCGA-DC-6683-01Z-00-DX1.hhhhhh.svs,TCGA-AD-6965-01Z-00-DX1.hhhhhh.svs,TCGA-AD-6965-01Z-00-DX1.hhhhhh.svs
TCGA-F4-6459-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5666-01Z-00-DX1.hhhhhh.svs,TCGA-A6-5666-01Z-00-DX1.hhhhhh.svs
TCGA-CM-6674-01Z-00-DX1.hhhhhh.svs,TCGA-AF-2693-01Z-00-DX1.hhhhhh.svs,TCGA-AF-2693-01Z-00-DX1.hhhhhh.svs
TCGA-DM-A1D8-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6514-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6514-01Z-00-DX1.hhhhhh.svs
TCGA-QL-A97D-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6586-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6586-01Z-00-DX1.hhhhhh.svs
TCGA-CA-5256-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6170-01Z-00-DX1.hhhhhh.svs,TCGA-CM-6170-01Z-00-DX1.hhhhhh.svs
TCGA-DM-A282-01Z-00-DX1.hhhhhh.svs,TCGA-CM-4744-01Z-00-DX1.hhhhhh.svs,TCGA-CM-4744-01Z-00-DX1.hhhhhh.svs
TCGA-NH-A8F7-01Z-00-DX1.hhhhhh.svs,TCGA-D5-5539-01Z-00-DX1.hhhhhh.svs,TCGA-D5-5539-01Z-00-DX1.hhhhhh.svs
TCGA-NH-A50U-01Z-00-DX1.hhhhhh.svs,TCGA-CI-6622-01Z-00-DX1.hhhhhh.svs,TCGA-CI-6622-01Z-00-DX1.hhhhhh.svs
TCGA-DC-6160-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-5407-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-5407-01Z-00-DX1.hhhhhh.svs
TCGA-AH-6903-01Z-00-DX1.hhhhhh.svs,TCGA-CM-4743-01Z-00-DX1.hhhhhh.svs,TCGA-CM-4743-01Z-00-DX1.hhhhhh.svs
TCGA-G4-6588-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6531-01Z-00-DX1.hhhhhh.svs,TCGA-D5-6531-01Z-00-DX1.hhhhhh.svs
TCGA-DM-A0XF-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6294-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6294-01Z-00-DX1.hhhhhh.svs
TCGA-AG-4021-01Z-00-DX1.hhhhhh.svs,TCGA-AA-3526-01Z-00-DX1.hhhhhh.svs,TCGA-AA-3526-01Z-00-DX1.hhhhhh.svs
TCGA-F4-6855-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-4616-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-4616-01Z-00-DX1.hhhhhh.svs
TCGA-F4-6805-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6508-01Z-00-DX1.hhhhhh.svs,TCGA-EI-6508-01Z-00-DX1.hhhhhh.svs
TCGA-F4-6569-01Z-00-DX1.hhhhhh.svs,TCGA-CL-5918-01Z-00-DX1.hhhhhh.svs,TCGA-CL-5918-01Z-00-DX1.hhhhhh.svs
TCGA-G4-6322-01Z-00-DX1.hhhhhh.svs,TCGA-AA-A02Y-01Z-00-DX1.hhhhhh.svs,TCGA-AA-A02Y-01Z-00-DX1.hhhhhh.svs
TCGA-CA-5254-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-6603-01Z-00-DX1.hhhhhh.svs,TCGA-AZ-6603-01Z-00-DX1.hhhhhh.svs
TCGA-F4-6809-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6856-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6856-01Z-00-DX1.hhhhhh.svs
TCGA-G4-6297-01Z-00-DX1.hhhhhh.svs,TCGA-AD-A5EK-01Z-00-DX1.hhhhhh.svs,TCGA-AD-A5EK-01Z-00-DX1.hhhhhh.svs
TCGA-G4-6627-01Z-00-DX1.hhhhhh.svs,TCGA-D5-5538-01Z-00-DX1.hhhhhh.svs,TCGA-D5-5538-01Z-00-DX1.hhhhhh.svs
TCGA-G4-6321-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6463-01Z-00-DX1.hhhhhh.svs,TCGA-F4-6463-01Z-00-DX1.hhhhhh.svs
TCGA-DM-A1DB-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6628-01Z-00-DX1.hhhhhh.svs,TCGA-G4-6628-01Z-00-DX1.hhhhhh.svs
TCGA-AY-A69D-01Z-00-DX1.hhhhhh.svs,,
TCGA-AY-6197-01Z-00-DX1.hhhhhh.svs,,
TCGA-QG-A5YV-01Z-00-DX1.hhhhhh.svs,,
TCGA-AY-A71X-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-6155-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6171-01Z-00-DX1.hhhhhh.svs,,
TCGA-CA-6717-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A28A-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6964-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A28K-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A1D7-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-6157-01Z-00-DX1.hhhhhh.svs,,
TCGA-F5-6702-01Z-00-DX1.hhhhhh.svs,,
TCGA-AZ-6600-01Z-00-DX1.hhhhhh.svs,,
TCGA-DY-A1DF-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6884-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6511-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6538-01Z-00-DX1.hhhhhh.svs,,
TCGA-CA-5255-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6678-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A1D0-01Z-00-DX1.hhhhhh.svs,,
TCGA-AU-3779-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5863-01Z-00-DX1.hhhhhh.svs,,
TCGA-F4-6704-01Z-00-DX1.hhhhhh.svs,,
TCGA-NH-A8F8-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6895-01Z-00-DX1.hhhhhh.svs,,
TCGA-CK-6748-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6626-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6512-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-6681-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6507-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-5869-01Z-00-DX1.hhhhhh.svs,,
TCGA-CK-6747-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-6651-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A288-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-6137-01Z-00-DX1.hhhhhh.svs,,
TCGA-NH-A6GA-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6299-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6537-01Z-00-DX1.hhhhhh.svs,,
TCGA-AZ-6598-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-6682-01Z-00-DX1.hhhhhh.svs,,
TCGA-QG-A5Z1-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6548-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6882-01Z-00-DX1.hhhhhh.svs,,
TCGA-F4-6808-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-6136-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6167-01Z-00-DX1.hhhhhh.svs,,
TCGA-WS-AB45-01Z-00-DX1.hhhhhh.svs,,
TCGA-EF-5830-01Z-00-DX1.hhhhhh.svs,,
TCGA-AZ-6607-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-2690-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6676-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6922-01Z-00-DX1.hhhhhh.svs,,
TCGA-AY-A8YK-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6298-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A285-01Z-00-DX1.hhhhhh.svs,,
TCGA-AH-6643-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-7000-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-A56L-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-5657-01Z-00-DX1.hhhhhh.svs,,
TCGA-G5-6233-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6625-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6310-01Z-00-DX1.hhhhhh.svs,,
TCGA-AA-A01Z-01Z-00-DX1.hhhhhh.svs,,
TCGA-CA-6719-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A28H-01Z-00-DX1.hhhhhh.svs,,
TCGA-CK-4947-01Z-00-DX1.hhhhhh.svs,,
TCGA-F5-6465-01Z-00-DX1.hhhhhh.svs,,
TCGA-F5-6464-01Z-00-DX1.hhhhhh.svs,,
TCGA-AH-6897-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6928-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-5654-01Z-00-DX1.hhhhhh.svs,,
TCGA-F5-6814-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-4110-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A1DA-01Z-00-DX1.hhhhhh.svs,,
TCGA-NH-A6GB-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-6142-01Z-00-DX1.hhhhhh.svs,,
TCGA-F5-6864-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6510-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-7002-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6295-01Z-00-DX1.hhhhhh.svs,,
TCGA-DY-A1DC-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-5337-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6917-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6929-01Z-00-DX1.hhhhhh.svs,,
TCGA-5M-AATE-01Z-00-DX1.hhhhhh.svs,,
TCGA-CK-4952-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-6672-01Z-00-DX1.hhhhhh.svs,,
TCGA-F5-6813-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6303-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6898-01Z-00-DX1.hhhhhh.svs,,
TCGA-CA-5796-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6311-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6885-01Z-00-DX1.hhhhhh.svs,,
TCGA-DY-A0XA-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-A565-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6677-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6164-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6926-01Z-00-DX1.hhhhhh.svs,,
TCGA-AG-4022-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-5900-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5344-01Z-00-DX1.hhhhhh.svs,,
TCGA-AH-6644-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6302-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6675-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-4747-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6306-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5868-01Z-00-DX1.hhhhhh.svs,,
TCGA-AZ-6608-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-5656-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-5665-01Z-00-DX1.hhhhhh.svs,,
TCGA-SS-A7HO-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6901-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6890-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A1D4-01Z-00-DX1.hhhhhh.svs,,
TCGA-F4-6460-01Z-00-DX1.hhhhhh.svs,,
TCGA-NH-A6GC-01Z-00-DX1.hhhhhh.svs,,
TCGA-NH-A50V-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6314-01Z-00-DX1.hhhhhh.svs,,
TCGA-T9-A92H-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6304-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-4745-01Z-00-DX1.hhhhhh.svs,,
TCGA-QG-A5YW-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-4751-01Z-00-DX1.hhhhhh.svs,,
TCGA-CK-4950-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6307-01Z-00-DX1.hhhhhh.svs,,
TCGA-CK-6751-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6963-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-6883-01Z-00-DX1.hhhhhh.svs,,
TCGA-NH-A50T-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6168-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6317-01Z-00-DX1.hhhhhh.svs,,
TCGA-AM-5820-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-5661-01Z-00-DX1.hhhhhh.svs,,
TCGA-5M-AAT4-01Z-00-DX1.hhhhhh.svs,,
TCGA-BM-6198-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5348-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-6655-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-4749-01Z-00-DX1.hhhhhh.svs,,
TCGA-AY-A54L-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6166-01Z-00-DX1.hhhhhh.svs,,
TCGA-G5-6641-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A1D6-01Z-00-DX1.hhhhhh.svs,,
TCGA-AZ-4315-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5864-01Z-00-DX1.hhhhhh.svs,,
TCGA-5M-AAT6-01Z-00-DX1.hhhhhh.svs,,
TCGA-AA-3685-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5861-01Z-00-DX1.hhhhhh.svs,,
TCGA-DY-A1DG-01Z-00-DX1.hhhhhh.svs,,
TCGA-AA-A01P-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6315-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A0X9-01Z-00-DX1.hhhhhh.svs,,
TCGA-NH-A5IV-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-A56K-01Z-00-DX1.hhhhhh.svs,,
TCGA-AZ-6605-01Z-00-DX1.hhhhhh.svs,,
TCGA-F4-6703-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6161-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-6649-01Z-00-DX1.hhhhhh.svs,,
TCGA-F4-6461-01Z-00-DX1.hhhhhh.svs,,
TCGA-AY-5543-01Z-00-DX1.hhhhhh.svs,,
TCGA-AY-6196-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A28M-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6169-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A28F-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5349-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A0XD-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A28G-01Z-00-DX1.hhhhhh.svs,,
TCGA-AZ-4615-01Z-00-DX1.hhhhhh.svs,,
TCGA-DC-6158-01Z-00-DX1.hhhhhh.svs,,
TCGA-AA-3675-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-6653-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6530-01Z-00-DX1.hhhhhh.svs,,
TCGA-D5-6533-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-5662-01Z-00-DX1.hhhhhh.svs,,
TCGA-CK-5916-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6172-01Z-00-DX1.hhhhhh.svs,,
TCGA-F5-6812-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-5860-01Z-00-DX1.hhhhhh.svs,,
TCGA-CA-6716-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6899-01Z-00-DX1.hhhhhh.svs,,
TCGA-DM-A1D9-01Z-00-DX1.hhhhhh.svs,,
TCGA-4T-AA8H-01Z-00-DX1.hhhhhh.svs,,
TCGA-AD-6888-01Z-00-DX1.hhhhhh.svs,,
TCGA-AA-A01X-01Z-00-DX1.hhhhhh.svs,,
TCGA-CM-6679-01Z-00-DX1.hhhhhh.svs,,
TCGA-EI-7004-01Z-00-DX1.hhhhhh.svs,,
TCGA-G4-6293-01Z-00-DX1.hhhhhh.svs,,
TCGA-A6-A566-01Z-00-DX1.hhhhhh.svs,,
TCGA-AF-3911-01Z-00-DX1.hhhhhh.svs,,
